u0,u1,u2,u3
-0.03191796786966157,0.020309049847227211,0.13696109486133737,0.044380761985854673
-0.19902638532054015,-0.016320824605257068,-0.21612563164505078,-0.18516012784216299
-0.39977233553363456,-0.31323998285152965,-0.03831813798797068,-0.18342586591412902
-0.2398235426883919,0.11095394070143288,0.36232021947341109,-0.1646886084534947
-0.034794501935234867,0.15193988054466759,-0.2937723387926065,-0.30702600233526312
-0.17529965672731102,-0.19453426741545826,-0.032331492839687136,-0.25062566303884781
-0.062662015183206923,0.1037112853516436,-0.43908974628567854,-0.082475991962924405
-0.3685448353400384,-0.23391119077445444,0.1277731178252344,0.07380294673772983
-0.23752315275875488,0.0033358186983465494,-0.13773542337127101,0.31462867601106087
0.010309465712515545,0.13147652601841148,-0.20455551924115417,0.54241979627725845
-0.29704824258703594,0.058327173168215757,0.12030407848894349,-0.040169014340525007
0.0082092693591189741,-0.16542507174245694,-0.1448305301725013,-0.057576876556857851
0.14956772008349059,-0.14235376326995222,-0.22493772184181973,-0.32137280905825483
-0.28492659390441666,0.22656028433784905,0.170295165556936,0.091055627050293256
-0.087256666957904711,0.22814426389607786,0.27032762721438547,-0.26995550837579552
0.310893842969095,-0.45310675159288943,0.27191267951360398,-0.058884971891503345
0.17872967974752937,0.13051008418999938,-0.16076080843887447,-0.16323077130826694
0.088538462949301067,-0.035785207951834319,0.026496257988075218,0.2012864470288756
-0.20692624358449965,-0.13086697091012761,-0.10560319766450758,0.21211818949228209
0.20717262969275888,-0.25922684651357886,0.014025879788939915,0.12982758308516024
-0.11052752936948991,-0.39677204227884377,-0.16527987504537611,0.0083656929102319602
-0.27243479536807186,-0.07740004595426779,-0.082034455039316515,0.10299547911316509
0.027215120453464147,-0.33610673467192631,0.12593316011051114,0.088632072545045584
-0.070661436835320238,-0.080325426360844415,-0.30763427505682106,-0.0073266741234299182
