u0,u1,u2,u3,u4
-0.060524240136146545,0.14857770502567291,-0.1483495831489563,-0.13212957978248596,0.29088982939720154
0.52399635314941406,-0.27412503957748413,0.0048037027008831501,-0.13303874433040619,0.12085454165935516
-0.11006759107112885,0.15022365748882294,-0.09250263124704361,-0.078825399279594421,0.088710896670818329
0.16617421805858612,0.14926876127719879,-0.055205348879098892,-0.051623135805130005,-0.043854180723428726
0.020512610673904419,-0.00057670992100611329,0.11528000980615616,-0.47903937101364136,-0.21044190227985382
-0.31130799651145935,-0.32465007901191711,0.51659870147705078,0.13976499438285828,0.0032906332053244114
-0.11417800188064575,-0.083237439393997192,-0.053738735616207123,-0.10633723437786102,-0.13282319903373718
0.11829186975955963,-0.012238482013344765,0.036290071904659271,-0.017234368249773979,-0.026301482692360878
-0.22623586654663086,-0.48233515024185181,-0.15321718156337738,-0.075196035206317902,-0.045375518500804901
0.094152450561523438,-0.036139681935310364,0.17468400299549103,0.12371834367513657,0.018197786062955856
-0.022768823429942131,-0.020271025598049164,-0.1667085736989975,-0.15835832059383392,0.34025722742080688
-0.01985696516931057,-0.23974712193012238,0.030140593647956848,0.18716338276863098,0.02569291740655899
0.28186747431755066,-0.024432117119431496,0.23709502816200256,0.027440808713436127,0.0557677261531353
0.12402759492397308,-0.13190098106861115,0.11009532958269119,0.12341570109128952,0.2160295844078064
-0.065628774464130402,0.24581880867481232,0.49853965640068054,-0.097460269927978516,0.28411823511123657
-0.13151848316192627,0.16272225975990295,-0.015320310369133949,-0.33802631497383118,0.032318569719791412
0.17632752656936646,-0.01712498627603054,0.024837784469127655,0.039505433291196823,-0.023134691640734673
-0.24757976830005646,-0.21852290630340576,0.34578678011894226,-0.13981662690639496,-0.056309614330530167
-0.35007607936859131,0.0015329058514907956,-0.071289978921413422,-0.031179383397102356,0.16990424692630768
-0.020016303285956383,0.30186828970909119,0.13157792389392853,-0.061922527849674225,-0.59766548871994019
0.06126682460308075,0.096777461469173431,-0.01204267144203186,0.44660463929176331,0.18316923081874847
0.26560750603675842,0.19912733137607574,0.35260802507400513,0.035625502467155457,-0.0059017138555645943
0.2703717052936554,-0.31782615184783936,0.046304203569889069,-0.44008201360702515,0.0753822922706604
0.13241113722324371,-0.24394465982913971,-0.11398708820343018,0.2328498363494873,-0.38592410087585449
